Predefined_skills
Testing
HDL
soa
jsp
Perl
Ruby
Ruby on Rails
CMS
CRM
CAD
WordPress
Android
React Native
React-Native
rest
object oriented analysis and design
salesforce crm
salesforce sfa
apex language
soql
sosl
visualforce pages/components
apex web services
apex data loader
visualforce
pl-sql
github
eclipse 
ms sql server 2000/2005
oracle 8i/9i/10g
ms access
db2
objective-c
phonegap
appcelerator
j2me
android studio
titanium studio 3.2
dreamweaver CC
visual studio
xamarin
eclipse4.3
ms sql
C
tfs
scm
ucm
multisite
svn
vsts
Visual c++
visual c++
visual C++
oracle 9i/8i/10g
ibm db2/udb
sql
Uml
XML
jasmine
oop
asp.net
angularjs
jsf
Webpack
Reactjs
weblogic server
spring
struts 2
hibernate
mockito
testng
junit
patterns
Weblogic server
jboss
websphere
jenkins
docker
rally
Routing
Switching
Wireless Communication
Monitoring
Security Policies
oracle
MS sql
data analysis
object oriented programming
RAD
mvc
waterfall
spiral
rapid application development
scrum
quality control
qc
regression testing
ooad
j2ee
networking
sql Server
rdbms
testing
powe bi
Business Intelligence
business intelligence
sdlc
aws
sas
Javascript
SQL server
pl/sql
business analysis
pl sql
data mining
data warehousing
ms visio
Quality Assurance
QA
Regression testing
jdbc
apex
adobe photoshop
ms office
angular.js
Perl scripting
perl scripting
Shell scripting
shell scripting
Java/J2EE
MYSQL
mysql
SQL Server 2008
Web Logic
web logic
Web Sphere
web sphere
Apache Tomcat
apache tomcat
JBOSS
jboss
Subversion
subversion
SVN
svn
Clearcase
clearcase
Harvest
harvest
JIRA
jira
Confluence
confluence
ServiceNow
BugZilla
bugzilla
struts
Struts
Angular JS
Angular 2
React JS
Redux
redux
RequireJS
requirejs
Typescript
Backbone
typescript
backbone
Apache CXF
apache cxf
IntelliJ
Rational Rose
rational rose
TOAD
Clear Case
Web-storm
Gulp
gulp
Web-storm
clear case
JBOSS
Oracle 9i
Oracle 10g
XHTML
JSP 2.0/2.1
JSTL
Log4j
DHTML
XSLT
GWT
RIA framework
Restful web service
Yeoman
Grunt
Firebug
J Unit v 4.12
Firebug
grunt
yeoman
restful web service
gwt
xslt
dhtml
CA siteminder
CA SiteMinder
CA siteminder
Sun one directory server
sun one directory server
Ping Federate
ping federate
VB.Net
C#.Net
WCF
wcf
WPF
wpf
Visual Studio Online
Visual Studio Team Suite/Foundation
visual studio team suite/foundation
visual studio online
Terraform
terraform
Microsoft Azure
microsoft azure
SQL Azure
ASP
LAN/WAN Architecture
lan/wan architecture
TCP/IP
tcp/ip
Frame Relay
frame relay
VPN
vpn
VLAN
vlan
VTP
vtp
NAT
nat
PAT
pat
STP
stp
RSTP
rstp
PVST
pvst
MSTP
mstp
Cisco Switches
cisco switches
Cisco Routers
cisco routers
ASA/Pix firewalls
VMware
VMware
Ironport
PAP
pap
CHAP
chap
Cisco PIX
cisco PIX
Blue Coat
blue coat
OSPF
ospf
IGRP
igrp
EIGRP
eigrp
Routing Information Protocol
RIP
rip
MPLS
mpls
IS-IS
is-is
BGP
bgp
Multicasting
multicasting
Cisco Works 2000
cisco works 2000
Wire Shark
wire shark
HRPing
hrping
J-developer
j-developer
Java 1.5
Servlet 2.4
JSP 2.0
Ant 1.7
JUnit 4
Hibernate 3.1
Eclipse 3.x
Oracle SQL Developer
SVN
VSS
AllFusion Harvest Change Manager 7.1
RUP. Clarity
HealthRules
Mainframe(CICS)
Facets
NaVinet
SaaS
